Gene	Mean.Coverage	SD.Coverage	Length
RP11-783K16.5	17.9571428571	3.57396197051	49
RPL37A	29.9268544601	27.7614480038	1065
RAB5A	52.601285956	25.3390373821	1182
RAB5C	47.0875080906	31.465486224	309
RAB5B	57.2270049917	28.9938046186	1202
PPT2	70.4455924171	33.3761724389	211
AL589765.1,CELF3,RIIAD1	21.7854789272	26.2192102112	261
CTD-2339L15.3	55.2497959184	18.3058016853	196
ICMT,LINC00337	0.02	3.55109216837e-18	22
TXNDC9	56.3907651246	27.4798593605	1124
TXNDC2	75.3807460137	24.7443418531	1756
KCP	6.87809310019	3.28440474795	8464
POU6F2	44.0568381665	26.0952689879	3207
POU6F1	65.8301155624	30.5997683646	1298
CHURC1	88.806744186	6.16823260191	172
MIR3166,RAB38	0.594666666667	0.0124594580636	15
PP13004	3.41578158458	1.75260186085	467
ZMYM6,ZMYM6NB	5.33171052632	2.71469305234	76
RPRD1A	39.4193796898	28.8083303302	1999
FEN1	65.2610480349	14.4272233244	1145
CAMK2D	51.7587927928	25.9782954663	3885
CAMK2G	53.2372880935	29.8266782576	4023
CAMK2A	46.7169248895	23.3766531253	3395
CAMK2B	31.7893925603	26.2318850591	5054
PRKDC	40.9442171395	26.2234277909	20374
PRKD1	64.4273519914	28.7969525018	4645
PRKD2	48.9710372881	24.4538279681	4425
PRKD3	59.9796868842	24.376048918	4567
SULT1C3	47.8155188905	28.1230463199	2091
C5orf34	70.8547804139	18.1147936785	1981
C5orf30	54.2425423729	7.36417926678	649
MTFR1	55.4326773836	26.3391822345	1804
MTFR2	44.202365	23.0859761003	2000
CLTCL1	46.7878576616	26.9748895319	8262
MIR1207	48.065	13.5267013318	186
MIR1202	15.7745054945	4.64688329311	182
MIR1203	62.1194117647	9.45872063645	85
MIR1200	48.5443421053	7.12195634837	76
MIR1208	53.9831395349	9.67064718549	172
RP11-903H12.3	72.3966981132	17.8279681144	106
GJE1	2.59055693069	1.69834734501	808
LILRB2,MIR4752	0.1688	0.00558423436734	50
RP11-343C2.7,RP11-343C2.9,TMED6	75.6306122449	16.9979407596	294
AC007461.1	0.193775100402	0.034139857372	249
RSPRY1	64.7000781494	26.731136316	3199
YDJC	17.7946382979	20.6946266064	1410
MRGPRE	31.3712993263	27.9186132128	1039
WIPF3	25.4786089866	23.5547347258	2092
KRTAP5-10	78.4388471178	22.8210661209	798
KRTAP5-11	92.8016985138	4.06246409901	471
TRAT1	66.8352711703	17.8145249084	1051
SNORD18B	65.7676388889	4.46534969154	72
ACTG1	74.7200702165	24.9293313506	1709
ACTG2	51.0623324397	24.940473755	2238
LDLR	63.3348747709	28.0271364164	4911
XXbac-BPG299F13.17	1.96646464646	0.451946613091	99
SNORD116-24	85.9484782609	1.19394989015	92
SNORD116-25	74.3041304348	3.57839308038	92
SNORD116-26	67.463125	3.6043611924	96
SNORD116-20	88.1188043478	0.473473024237	184
SNORD116-29	54.5648192771	3.00551540219	83
NT5DC3,RP11-650K20.3	1.91238095238	1.0355380474	21
AC027763.2,ALOX12	69.8826373626	15.7850691643	91
N6AMT1	61.8809655172	20.8657927791	1160
NSD1	66.9339327841	23.7210027849	10682
HAUS4,RP11-298I3.5	58.018777969	18.2569950332	581
IL13RA2	56.1908638211	16.0698741557	1968
SLC25A5-AS1	0.865039370079	0.220086108746	127
PLEKHS1	51.4066148649	26.4782802386	2960
CYP19A1	62.9564646947	33.1173306006	2096
ALG11,ATP7B	50.5427868852	10.8646543328	61
ZNF677	53.7323	25.618801317	2300
ZNF675	42.5982894262	30.7224548548	2771
ZNF674	41.9944736842	25.5665595802	2356
ZNF672	18.4027520235	11.2270130827	1359
ZNF670	72.2504713115	19.0490084846	1464
ZNF679	41.9275542406	17.4258191777	1521
ZNF678	55.0194706146	26.4954650347	2229
AP001362.1,EHBP1L1	33.1841798942	24.6852227833	378
MYLIP	64.4342397509	27.1063432267	1927
NDUFB7,TECR	11.3957142857	1.40922555564	49
SLC24A4	51.8898454283	25.4154044516	3817
SLC24A5	67.4113826816	19.7314128651	2148
SLC24A2	71.2830648536	23.003554289	2868
SLC24A1	48.5863245555	32.2803603777	4443
IGHD2OR15-2B	0.114769230769	0.0752794832362	130
IGHD2OR15-2A	41.7687692308	18.5796673068	130
GABPB2	57.5750704225	24.3401077219	2201
GABPB1	49.8083981693	34.5352223149	2622
AL603650.1,AL603650.3,AL603650.4,MIR3689A,MIR3689C,MIR3689D1;MIR3689B,MIR3689D2,MIR3689E,MIR3689F	0.702	0.00836660026534	5
MIR888,MIR890	47.9087878788	28.3245194232	99
CTD-2562J15.4	0.262022900763	0.0818471583377	262
RP11-791G16.2	58.4824242424	9.53483667346	99
CDC42EP1	44.9884615385	27.8724572368	1274
SCARNA2	32.0559038462	15.3484576604	520
RP11-618K13.2;C11orf94,MAPK8IP1	78.6073333333	1.53584070355	15
ASL	39.0583212996	18.3361053704	1662
BARD1	60.6571238152	22.7739537397	3376
SREK1IP1	40.9662093023	17.1513984755	860
ANKDD1B	3.11407866761	2.01030884089	2822
SZT2	62.3156067688	26.9860303511	16901
AP006216.10,BUD13	8.30185185185	0.651342029004	27
TWISTNB	65.029	26.0977883366	1410
SP100	56.3614295147	24.5057675657	6058
RNF113A	86.4528875969	8.40282359793	1032
DNAH10;ATP6V0A2	12.1144	0.575341058272	25
AC117395.1	0.244675324675	0.140720961247	462
SLX1B-SULT1A4	0.400754716981	0.732671170461	106
CDC27	43.6917270642	24.0584960509	4360
CDC20	75.9761054422	19.9191774065	2352
RP11-192H23.4,SGK494	82.7562840467	7.7879392939	514
AC138430.4	31.6639770554	26.4224046133	1569
PCBP1	70.4413888889	15.1397815632	1116
IGHD4OR15-4A	0.696363636364	0.18957459782	22
RP11-697E2.6	16.8861956522	16.650157828	92
RP11-697E2.7	25.4005217391	10.3097587749	690
OR14A2	6.78579509072	1.54531039695	937
MIR744	31.852755102	2.28299305291	98
CTC-558O2.2	18.5687931034	14.1514545054	116
CTC-558O2.1	38.4834121622	22.5027901135	296
NUMB	59.0917256637	21.8410968777	2938
EPSTI1	58.1982025737	22.8185081604	2409
SSPN	48.9203809524	39.0338518112	840
SSPO	30.3211983867	21.3001782565	25042
PCDHGA1,PCDHGA10,PCDHGA11,PCDHGA2,PCDHGA3,PCDHGA4,PCDHGA5,PCDHGA6,PCDHGA7,PCDHGA8,PCDHGA9,PCDHGB1,PCDHGB2,PCDHGB3,PCDHGB4,PCDHGB6,PCDHGB7	14.4292090395	10.4700562996	177
IFI27	29.7919587629	22.7643251086	873
RP11-402J6.1	26.1081984334	18.250028305	383
AL158091.1	2.22695286195	0.523815591111	594
DYRK3	77.1615844028	24.099050737	2026
DYRK2	55.5004343932	30.7409864057	2233
DYRK4	66.4791569632	21.8333611407	2147
EN1	25.0023101018	19.560062958	1277
EN2	25.0179181818	31.2603722686	1100
GPR75	77.1587430684	14.4944059798	1623
GPR78	38.6082996894	26.3396361372	1288
OR4X1	66.0475098039	17.34450445	1020
OR4X2	88.6062404372	11.8619441078	915
SLC27A2	64.4029981785	22.8828191516	2745
SNORD116-1	85.7606315789	1.98128789542	95
CYP4A22	75.4826601831	19.1839321649	1748
ERO1L	48.1211245257	23.2483867628	2899
KIAA0391,PSMA6	29.9490276356	29.862835643	977
AOAH	51.7047103514	25.1746833764	4212
RP11-65L3.2	52.3337704918	14.1181181103	244
TCEAL6	64.1075731497	24.704226285	581
TCEAL5	76.133255814	17.5556571178	645
TCEAL8	81.0744686649	12.8384130822	367
UBE2Q1	66.2489599318	28.90422755	2346
UBE2Q2	47.9972969745	21.1876543513	2512
PIPOX	66.3605017387	25.6394124653	2013
FUT11;AC022400.2,SEC24C	1.49	0.0681385143869	15
MIR663A	4.68729166667	1.50355737274	192
TAX1BP1	55.15164353	22.9332833519	4034
TAX1BP3	50.7189866667	22.2001418682	375
DR1	46.2435763411	17.4338529215	727
ACOT11	51.4747304058	26.7255873002	3598
ACOT12	57.5156624501	22.7305055021	3004
NCOR1P1	34.4638522954	12.5408986492	501
SLC16A6P1	50.6745276074	22.4949746502	815
SPEN	70.2889402938	19.2663610414	12796
SPEG	42.2904039651	29.6079536069	13417
AL354993.1,TSHZ2	2.23959183673	0.655597561973	49
CTC-524C5.2	20.4895795548	32.3990301861	1213
MIR409,MIR541	30.8333333333	0.295014123956	3
RP5-1184F4.5	51.1236615385	17.1315584128	325
COPZ2	21.7395540623	12.8415583227	1637
SERPINA13P	39.1663853821	22.4919701176	1505
IQCD,TPCN1	5.37460431655	0.795126702315	139
PCGF1	61.9230064103	29.9052398759	1560
PCGF3	39.9294633274	26.1826987902	1677
PCGF2	52.696996663	31.3590020197	1798
PCGF6	45.6906057441	23.2783994899	1915
POLI	37.8636666667	22.8634707486	3030
NES	63.9992267442	26.9892479464	5160
MIR99B,hsa-mir-125a	36.311875	0.994734341206	48
C10orf11	65.0667194371	26.4738215012	1137
C10orf12	65.5128244631	25.5951860798	4284
SPIN3	65.6783694413	24.138142602	877
KCNK12	13.7679942487	12.6708691594	1391
SREBF2	52.6952331878	31.7023285805	5725
SREBF1	36.6411246306	27.6864742595	5753
RPS6KA2	50.9535774059	25.8371285381	4780
RPS6KA3	54.193640646	24.0072425128	4458
RPS6KA6	34.5117360179	17.5063600892	4470
NDUFA7,RPS28	8.584375	1.12056995147	32
PPAP2C	56.7876992871	28.0181645399	1543
PPAP2B	64.4905189341	25.9071101751	1426
PPAP2A	55.8076334951	29.3338391078	1648
CTD-3074O7.11,DPP3	38.878	10.8698359321	95
CHPF2,MIR671,SMARCD3	5.765	0.2360492126	14
AC092964.1,FNDC3B	2.29105263158	1.81524378451	190
RP11-132A1.4	3.66890063425	1.8703753296	473
FHL1	53.6465480427	35.1356233593	2248
NEUROD2	24.752125523	14.1154188359	1195
TRAJ49;TRAJ50	20.7364	2.55870765991	100
RP11-599B13.3	4.13884194053	2.19054105877	639
LAYN	53.511707196	30.8605106558	2015
RP11-753H16.3,RP11-753H16.5	50.2968023925	27.5772925405	4347
KHK	65.4128516868	22.0403108112	1571
LZTFL1	49.8764056604	29.8187478013	2120
DBR1;DBR1	25.8725	0.166408132814	4
ZNF718	38.883381071	17.3564872363	1606
ZNF714	39.9400909485	24.2966784526	2309
ZNF716	41.5207641921	19.2041017733	1832
ZNF717	2.65398900428	2.7763962614	3274
ZNF710	52.4009319412	26.6965205222	2586
ZNF711	46.0259150852	23.6634309051	3109
ZNF713	67.8353853659	10.0098754398	1025
BRK1	29.6561220472	18.4047809939	508
GABBR1,UBD	57.4921428571	31.3411778228	98
EIF2B5,FAM131A	21.9784671533	28.1134686411	548
AC068039.1,DYNC1I2	22.1156140351	17.0699690604	285
C15orf39	49.369767513	23.8498607715	3269
C15orf32	74.4163090129	16.7603649356	699
C15orf37	43.8888295165	26.2264533391	393
C9orf156	52.2483507497	31.6828821556	2201
C9orf152	73.9817114914	21.0117742537	818
AL035406.1,KCNAB2	32.2511976048	24.9667625272	167
BCS1L	75.365	20.5087479643	1846
CYP4A11	66.9928826036	23.6322081834	2581
UPB1	68.6916695881	21.6605749732	2282
AC003986.5	24.5349019608	4.73424307468	51
UNC13D	45.5149350261	29.0893241334	6695
UNC13C	44.3295940129	26.5141386093	10222
UNC13A	35.7535244898	25.5942601242	9800
DONSON	52.4417641179	27.6040199398	2001
AAK1	38.8600020084	24.9391308032	4979
MGAM	46.2688834012	25.1587925834	14983
FAM205B	8.50410346169	3.27843294447	2571
FAM205A	8.70780334728	3.37210001793	4302
XAGE2B	0	0	426
MARVELD3,PHLPP2	77.0063265306	6.07272409147	49
CTD-2644I21.1	0.201914893617	0.0609439425516	141
TRAV2	78.4004980843	17.8417942596	522
CCNJL	39.5202389985	34.7891097213	2636
PTGES	37.0424888227	27.1098282708	671
GNL1	70.2640040789	23.9775960844	2942
ADCK4	52.2257800941	21.3893803409	2974
ADCK5	25.5199686324	22.7588657809	3188
ADCK2	59.8525259792	26.9160795325	2502
ADCK3	49.878364027	23.2643718056	3258
ADCK1	60.0816377516	30.8157228577	2882
ZFYVE9	68.3324659401	20.2708535626	5872
ZFYVE1	69.8086614879	20.9177616237	3347
KIAA1984-AS1,RP11-216L13.19	34.2696078431	5.24983579202	51
SETMAR	33.6846779502	27.1545720763	2127
RP11-74C13.3	11.9168085106	2.66049203228	47
NPR3	51.1193313185	32.3911066602	2647
TMEM222	41.2352885187	34.654453645	1681
TMEM223	16.9879266573	7.05576875135	709
CT47B1	50.3365711462	27.9747875749	1012
CHURC1-FNTB,FNTB,RAB15	53.9097138047	30.1672973169	594
C1orf194	68.0869346734	28.9587286902	995
FAM13B,PKD2L2	32.3601020408	5.42470456127	98
FRG1	41.5403753213	31.5099833584	1945
LHCGR	72.2683396947	24.9295106606	2096
LPPR5	61.0453988996	21.7837960595	1454
LPPR1	73.6391798107	16.7348725436	1585
BLCAP,NNAT	33.4724324324	12.1295714783	148
HNF4G	65.0187387387	21.1853116537	2220
HNF4A	51.4083875633	29.2530567668	2766
SEC61G	53.6313274336	18.0734162072	452
SEC61B	44.917042735	33.4468726445	585
HAAO	36.2266466412	25.5305027809	1831
SMPDL3B	65.2533207309	16.9950006261	1587
SMPDL3A	63.8134863281	24.3571719471	2048
RP11-630D6.5	46.9910384615	19.9732348286	520
RP11-206L10.8	0.138546712803	0.0893376401981	289
MRPS24,URGCP-MRPS24	27.2886511628	22.6134225162	430
CTD-2235C13.2	4.22510638298	0.58325873273	47
RP11-407G23.4	48.44	1.43851775565	7
SCRG1	64.3274867257	38.5438965197	565
C8orf22	54.0251813472	23.4653642371	579
AC011294.3	2.40336614173	1.07747782772	508
PRB1	74.6894403292	19.3389446902	1215
PRB4	91.277196738	5.01359470117	981
RP4-739H11.4	2.01080412371	1.26630227809	485
R3HCC1;R3HCC1	4.905	1.69167569784	4
CYP2F1	49.9627574991	31.7836028287	2767
OR7C2	82.0942561205	14.4085144794	1062
OR7C1	81.6685699797	9.44947008874	986
SLC35F4;SLC35F4	37.255	11.5188613442	4
WSB1;MIR4522	0.2664	0.0150861471799	50
CTB-54O9.9	15.9456603774	13.0107916021	53
CALCR	56.3012197483	26.1811470578	3099
CALCA	79.7227133106	15.4527683458	586
RP11-894P9.2	44.9972307692	10.0529413463	65
SSH2	73.4671020246	29.1262740542	5038
AMER1	52.3836807159	20.4437145334	3464
C2orf15,MRPL30	53.6830786026	30.5902697505	916
RP5-1000K24.2	28.8507885305	6.77905450277	279
FAM57B	32.8328562616	26.3694198763	1621
FAM57A	47.6970833333	38.6021741318	1392
CTC-359D24.3	4.92437246964	0.929793835293	247
ADAMTS7,MORF4L1	0.42612244898	0.0111460618102	49
DUS2	69.0061053386	18.8575588484	2791
SCARF1	40.4329013761	29.5559958122	3488
AC008937.3	9.9230952381	9.61307106352	168
AC008937.2	33.2174489796	16.8573241975	196
ADARB1,PRED57	0.231736842105	0.103763233799	190
RP11-46C24.6	48.8324489796	8.11460733559	49
ARPC3	56.3623247664	30.8869865569	856
ARPC2	49.2791979835	30.2273270767	2182
ARPC5	59.9144553244	27.6840485363	817
MIR523,MIR525	51.1214141414	16.3407314433	99
AC005863.1	65.8840459364	16.0818631221	566
HELZ	62.9109569835	25.7550175444	9415
RP11-47I22.2	2.94166666667	0.0563619256827	6
RP11-47I22.4	4.09742424242	0.859544263157	66
C3orf20	62.7663070052	24.8572523223	4254
C3orf22	55.0280572852	31.3105117946	803
C3orf27	62.4153111111	16.7545103994	450
TNPO3	63.830418586	20.0404938021	4993
TNPO1	59.5481753273	23.2099794734	5042
AP001094.1,PTPRM	0.329578947368	0.206129043395	95
NR2F2-AS1	15.6182191781	21.4734541392	146
SH3BP4	65.2522804266	23.0623798048	3188
SH3BP5	59.0048860316	26.7963541353	1711
SH3BP2	40.1187950863	30.9860577964	3826
KAT6B	70.0508007626	18.769321886	7343
BHLHE40	73.06011378	24.8521065452	1582
BHLHE41	32.5175176534	32.7253097401	1841
OR8G1	62.3389464442	33.731228861	1139
RAB41;ARR3	31.112	0.690774927165	5
SELO	42.7940074488	29.3067226376	2685
SELE	63.4518181818	19.2795952577	2948
PPP2R2A	51.3448178746	27.2758561668	2663
PPP2R2C	50.3099061977	32.7821487653	2985
PPP2R2B	53.2134766788	32.7839877864	3023
RP11-216L13.19	16.311981352	9.5365317291	429
RP11-216L13.17	10.5612068966	5.09641155173	116
RASGRP2	41.9774985804	23.7884758774	3522
ENKUR	61.1125841751	18.1483503296	1188
MIR3912,NPM1	0.757551020408	0.0271976264471	49
FZD5	28.7978251711	15.444462775	1899
KRT18P55	56.2741872428	23.917396085	972
AL121895.1,EPB41L1	0.145144927536	0.0476182432569	138
FMOD	69.1132757266	23.8512429472	1273
FMO2	71.8535938391	18.6279816552	1753
FMO3	62.1682255581	25.9596342895	2598
FMO1	68.2865894185	19.5697187298	2287
FMO5	68.4909138933	23.7458484401	1893
RP4-734P14.4,SNRPB	49.0276293103	26.7810434343	232
AC019294.1	3.16408408408	1.63268416446	666
MIR125A,hsa-mir-125a	19.5790697674	1.37642215472	86
ATP5H,KCTD2	68.6093663366	20.4881845256	505
SPCS1	59.121125158	37.4588997638	791
SPCS2	34.3054002714	33.0050558349	1474
MIR4438	0.104731182796	0.00700797648793	93
MIR4439	0.156625	0.0133068698352	80
MIR4437	0.163166666667	0.00812855745675	60
MIR4432	0.16119047619	0.0117611533228	84
MIR4433	0.200987654321	0.0154600241164	81
MIR4431	0.144715025907	0.0322433234711	193
IFT43	54.0663307727	32.8714522904	2213
IGJ	45.3303355705	30.3121780729	1043
AC018867.2,ZC3H15	31.7032608696	2.20359202697	92
HNF1A	41.8361483641	23.0314413467	3087
RP11-76N22.2	9.28265306122	1.25756341045	49
LOXHD1	11.1648974825	3.64050150491	11559
GCNT7	10.8837782562	3.9660929591	929
GCNT6	5.37106569343	2.67926145806	1370
GCNT1	82.1775135975	6.83781650525	1287
GCNT3	89.6497570235	6.88642533484	1317
GCNT2	77.0887906446	22.0180191754	3506
LMBR1L	53.9825972687	31.1412913751	3881
FAM92A1	18.6906658879	16.6107738112	2568
ST5	51.8960619682	31.751030942	6229
ST7	58.1897264735	30.0427529705	3071
STS	58.5603758542	16.8465839341	2634
IGKV1-16	73.7187258687	21.6664057209	518
IGKV1-17	81.3993050193	8.65639111059	518
KIDINS220	63.6354810005	22.7381853894	8316
PLAC8L1	64.2199640719	16.3936651178	835
EXOC6	50.1589697216	22.8158652095	4921
VPS25	54.5256382979	23.3852211185	1128
VPS28	46.3669288136	25.5073500141	1475
VPS29	34.283979661	24.8229397059	1475
OR2C1	70.7268888889	19.6206968631	945
AC083884.8	49.5182195572	29.951329021	1084
MIR192,RP11-665N17.4;MIR194-2	11.5153535354	2.64330934862	99
CTD-2050B12.2	12.3548302872	19.7434626972	383
RDM1	74.5582017544	18.9532361673	1368
MIR3610,RAD21-AS1	3.51123287671	1.18570061942	73
DHRS11	51.3732722335	30.7520397701	1473
DHRS13	40.6638779956	26.9210316613	1377
AC006946.15	2.7182559775	1.93627231433	711
HTATIP2	52.9493008641	26.4417500431	1273
GPBAR1	42.4618090452	19.2112711547	995
KIAA1549,TMEM213	33.0070866142	5.33460358537	127
LINC00243	5.09837328767	2.45734169868	584
LINC00242	10.391458671	3.88874952508	617
SLC39A12	61.7214782039	23.3827659713	3051
RFPL4B	68.2358080808	9.60468784897	792
RFPL4A	10.0882173499	3.41303087284	1049
TGOLN2	65.3371119134	30.5887363704	1662
AC112205.1,CCNG1	40.9232495164	18.0559814834	517
RP11-17A1.3	3.47833333333	3.03668928773	378
MIR4785	0.0347945205479	0.0068939565001	73
AC096579.13,AC096579.7	49.2857251908	23.1678196843	393
C17orf61-PLSCR3	0.221111111111	0.00333333333333	9
DMRT1	47.6632386027	31.3984906207	1689
DMRT3	54.7501208651	28.5607025747	1572
STH	42.9693281654	15.2060401335	387
SLA,TG	29.3357523302	30.5333440553	1502
ZNF587,ZNF814	93.2806944444	8.33898367949	72
OACYLP	3.44718340611	1.31019588624	916
FCF1	55.1528348214	25.7936247542	1344
SPEF2	52.8737225151	29.2894634033	7777
ANTXR1	62.2828076525	30.4372753074	3868
ANTXRL	4.78461538462	1.86296493989	3510
MAPKAPK5	42.4859415911	32.2107016192	2979
MAPKAPK3	65.611024126	23.5221520566	2031
MAPKAPK2	66.7992706872	25.7324614349	2139
AP5Z1	27.3492685229	20.3827406252	4238
AARD	29.3926223776	20.515786714	572
LAPTM5	40.2339846743	24.3959596316	1566
KRT74	62.8180151154	25.5079186459	2514
TRAJ11,TRAJ12;TRAJ13	68.2528	7.64629910213	50
LRP2BP	63.9398903358	26.9347985125	1459
PTDSS1	66.9134380643	27.1581475926	2769
PTDSS2	46.8209251751	29.5381445902	2713
CTC-429P9.2	0.704880546075	1.79128786294	586
CHSY3	52.1447697715	28.0703659414	2845
GNAZ	75.8984831461	16.428600166	1068
RP11-473M20.9	14.8646256684	9.23884454459	374
AP1AR	44.3315675375	22.6315199024	1799
PLD6,RP11-45M22.4	17.432244898	10.8787050596	98
TECPR1	26.7989648104	19.5899048065	5854
TECPR2	58.8682276995	23.5884531366	5964
PCDHGA2	85.6513778878	9.65492550267	2424
PCDHGA3	75.6031848185	19.7522899137	2424
PCDHGA1	79.3731833778	17.7433155742	2623
PCDHGA7	63.6064191419	20.6418325809	2424
PCDHGA4	59.4146385791	26.1248854401	2421
PCDHGA5	77.0996158612	18.1683167796	2421
ZSCAN5A,ZSCAN5D	23.2503421053	19.0786973894	380
C1orf195,TMEM51	3.23099415205	1.20349083184	171
RP11-386D6.1	70.5095967742	22.8785550597	248
CLEC4M	67.1961360042	27.7387204941	1897
CLEC4F	65.3655740433	22.6814238066	2404
CLEC4E	71.499040404	18.5222303173	1188
CLEC4D	53.1363093146	20.8502782473	1138
CLEC4A	46.412705314	23.8810321319	1863
RP11-180P8.1	24.9363636364	10.9656570063	99
OXA1L	65.323827212	24.5795594101	2396
LEMD3	52.1038402458	28.3578819435	3906
FXN	51.9364910859	32.190792633	1234
DOCK3,MIR4787	0.0562	0.00490314351478	50
POLR3F	53.6329280262	25.3054683694	1834
POLR3G	47.2660071429	21.3952636963	1400
POLR3D	64.0501591512	25.231810719	1885
POLR3E	54.5753132093	30.4029915538	4406
POLR3C	70.2517898194	21.7840714296	3045
POLR3A	67.3009467456	20.35783098	7098
POLR3K	51.1255258126	16.4193439751	523
POLR3H	40.469108855	26.5976824759	1773
TRAJ18,TRAJ19	51.0504081633	10.1540886591	49
WDR73	32.1107509387	26.2539735926	2397
FURIN	53.3980571124	25.5579578302	3747
TNFSF10	58.1170634355	30.9239501902	1403
RP11-400F19.6	33.366826087	19.5809521106	690
RP11-400F19.8	43.0820540541	24.8724591137	1295
CERKL	54.2476770538	24.6203526171	3177
GLRX5	20.907874097	29.4122359043	969
GLRX2	37.4678378378	21.2988222062	962
HSF2BP	50.8693845345	27.6436658908	1901
PHKB	56.6201899901	25.2749282162	7053
POTEH-AS1	2.34881443299	1.60972212599	194
F10	64.7150302245	22.9733931416	2316
RP11-307B6.3	17.9984137931	6.1574956214	145
SYS1,SYS1-DBNDD2	58.3924952381	36.9590997439	525
MIR3186	0.530588235294	0.0196003487078	85
MIR3183	0.48380952381	0.0299760853238	84
MIR3182	0.596349206349	0.0080925268795	63
SNORA68	83.4254887218	4.10339852978	133
SNORA64	45.2508955224	10.0309299461	134
SNORA65	63.1653076923	13.0857610756	130
SNORA66	62.142481203	5.49810248342	133
SNORA67	65.0145985401	10.4390894362	137
SNORA60	76.7696153846	15.3438320031	234
SNORA62	62.3033986928	6.99507572693	153
SNORA63	80.4625373134	8.00511985479	134
RP11-72I8.1	0	0	49
RP5-1039K5.17	85.9475490196	9.57339448952	102
RP5-1039K5.13	44.0040896359	27.1252303438	1071
ALAS1	68.65693857	22.3050807205	2979
ALAS2	42.3907464248	22.7261346123	2867
RAI1	54.9049169386	29.7753919505	6742
RAI2	76.4277537129	14.9955304248	1616
WFIKKN2	53.3612247071	18.4653632412	1878
WFIKKN1	19.783982438	12.2397256221	1936
MPZL3	72.4276747967	21.4496352197	1230
MPZL1	53.1348021309	25.3348100958	1314
AAMDC,INTS4	30.8530813953	26.4514289538	1032
FAM174B	20.8678785047	20.6608273593	1070
RP11-168O10.6	32.9531632653	18.7648102661	98
HDLBP	66.4902211266	25.2197351786	6693
SLFN12L	35.5537842697	20.5426294933	2225
PRPF8	78.0366995959	19.7979032631	11135
PRPF3	68.865411936	20.6767327693	3435
PRPF4	71.5694697773	22.1418954701	2829
PDGFRA	80.5594501134	13.5960256189	1764
PDGFRL	67.5911001236	24.2082926121	1618
BABAM1	26.1083655914	10.0984958079	465
ATXN1L	9.13463480613	3.39403889554	2218
IGHD1-7,IGHD6-6	38.2103030303	4.45246216098	99
IQCJ,IQCJ-SCHIP1	40.0970355191	30.8232562249	732
SHOX	35.356245	36.5437197994	2000
SLC27A4	56.1706290417	24.0230130628	3402
SLC27A3	56.542013261	29.7647622591	3318
ZXDB	33.8493864013	27.3522073134	2412
ZXDA	35.2389125	26.5673752458	2400
BCKDK	63.9197984267	20.4190673651	2034
TRGJP2	21.5903144654	4.45404586685	159
AC051642.1,SLC25A37	0.197368421053	0.0152434517728	95
ZNF667-AS1	3.99571428571	1.34123362837	427
WFDC10B	63.3682994924	23.9471061621	394
AQP4	88.3196059545	10.8664164075	1142
AQP5	56.5335923218	23.1984054328	1094
AQP3	43.3646164875	25.946407586	1395
AQP8	71.9532915361	20.9480695685	1276
NONO	37.9784102564	22.807609329	2340
RTN4RL1	33.6316748768	16.1928925683	1421
RTN4RL2	43.5853387097	36.7174193957	1860
HIATL1	60.6792535591	26.8286951338	2599
HIATL2	36.2908829787	34.4978486491	940
CIB2	48.2694705882	26.5353693049	1360
CIB3	56.5106161137	27.2393272469	1055
CIB1	52.7763751127	27.674305522	1109
CIB4	44.0888468809	33.5599131816	1587
ESR1,SYNE1	36.3620618557	33.7312030661	97
PSMA2	54.3931513476	24.2048370655	1447
PSMA3	59.5353846154	17.1725144717	1430
PSMA1	46.3897339848	22.1294928197	1842
PSMA6	75.4355912596	21.1874011633	778
PSMA7	62.8350386507	26.3013269116	1423
PSMA4	64.4461836735	22.9056267488	1470
PSMA5	60.6633178808	22.4259362277	1510
PSMA8	52.6847797502	26.114846994	1521
CSHL1,GH1	85.7215816327	9.86167608942	392
A1CF	67.0523592493	19.2771091776	2984
AP4M1	67.7718924075	19.7858699235	2621
KRBA1	26.5307317579	21.165479997	4824
KRBA2	81.4185858586	15.202580622	1485
AC073254.1	7.64186813187	1.92111558741	273
FAM187B	53.1674190939	25.3736157249	1236
TMSB15B	42.0625227964	21.3897820806	329
TMSB15A	77.1678148148	15.8459788633	270
GPR87	82.30909935	10.8298921922	1077
LAG3	55.9720283627	32.4442992582	2327
IGKJ1	77.7415789474	1.21672916953	38
IGKJ2	90.4223684211	0.46444057724	38
IGKJ3	32.13	0.432403715263	38
IGKJ4	85.1881081081	0.887254935924	37
IGKJ5	60.8226315789	1.88928512751	38
UGT1A10	92.7492748538	4.25768245588	855
RP11-304M2.3	0.518163265306	0.745263187462	637
OR1G1	72.4628441296	17.5919385064	988
CD101	66.3314760638	19.1980258218	3760
CD109	56.8714348934	21.6973569239	7457
RDH12	65.2127521866	28.9374602722	1715
SUCO	51.0244584757	23.4837088095	6731
LEF1-AS1	64.9656790123	8.70638270728	81
TINAG	59.4407395751	23.4500834778	2542
USP53	58.7818748665	20.8103874051	4683
USP50	37.7394117647	22.3619341523	1768
SNAI2	84.5952841476	15.0424086727	1003
SNAI3	57.226827957	24.7688328788	930
SNAI1	58.2895358224	22.9621506706	991
AC002985.3,COPE	46.5009863946	14.6317784285	294
GPX5	70.6986671744	23.2291913203	1313
LIPT1,MRPL30	9.84821989529	12.4811788822	191
ARFGEF1,CSPP1	52.2257991803	22.9335788482	488
